priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,repeat_a,repeat_b,value,undefined_reason,used_clusters,degeneracy_flags
3,ARI,,ari,ARI,A0,condition,4,KYOw02770,2,2,3,0.26159319281578064,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02771,2,1,2,0.8868424296379089,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02771,2,1,3,0.09234593063592911,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02771,2,2,3,0.08995013684034348,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02772,4,1,2,0.46978986263275146,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02772,4,1,3,0.3897183835506439,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02772,4,2,3,0.5252940058708191,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02773,5,1,2,0.33913058042526245,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02773,5,1,3,0.57738196849823,,"[4, 3]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02773,5,2,3,0.3253394365310669,,"[4, 3]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02774,1,1,2,0.07732288539409637,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02774,1,1,3,0.43967485427856445,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02774,1,2,3,0.13360591232776642,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02775,1,1,2,0.041545525193214417,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02775,1,1,3,0.6027444005012512,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02775,1,2,3,0.029815342277288437,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02776,1,1,2,0.10597621649503708,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02776,1,1,3,0.7968355417251587,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02776,1,2,3,0.10555017739534378,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02777,5,1,2,0.28225746750831604,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02777,5,1,3,0.45513278245925903,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02777,5,2,3,0.24700193107128143,,"[4, 4]",[]
