condition,pc1,pc2,pixels
B0,-0.780077711414286,-0.10821609775728558,8
B0,-0.780077711414286,-0.06653019709116148,18
B0,-0.780077711414286,-0.024844296425037493,7
B0,-0.780077711414286,0.016841604241086494,5
B0,-0.780077711414286,0.05852750490721048,2
B0,-0.780077711414286,0.10021340557333447,1
B0,-0.7562571967002883,-0.19158789908953355,1
B0,-0.7562571967002883,-0.14990199842340957,10
B0,-0.7562571967002883,-0.10821609775728558,8
B0,-0.7562571967002883,-0.06653019709116148,11
B0,-0.7562571967002883,-0.024844296425037493,6
B0,-0.7562571967002883,0.016841604241086494,5
B0,-0.7562571967002883,0.05852750490721048,3
B0,-0.7562571967002883,0.10021340557333447,2
B0,-0.7324366819862907,-0.19158789908953355,1
B0,-0.7324366819862907,-0.14990199842340957,5
B0,-0.7324366819862907,-0.10821609775728558,10
B0,-0.7324366819862907,-0.06653019709116148,13
B0,-0.7324366819862907,-0.024844296425037493,13
B0,-0.7324366819862907,0.016841604241086494,7
B0,-0.7324366819862907,0.10021340557333447,2
B0,-0.7086161672722932,-0.19158789908953355,2
B0,-0.7086161672722932,-0.14990199842340957,7
B0,-0.7086161672722932,-0.10821609775728558,13
B0,-0.7086161672722932,-0.06653019709116148,16
B0,-0.7086161672722932,-0.024844296425037493,15
B0,-0.7086161672722932,0.016841604241086494,12
B0,-0.7086161672722932,0.05852750490721048,7
B0,-0.7086161672722932,0.10021340557333447,6
B0,-0.7086161672722932,0.18358520690558255,1
B0,-0.6847956525582956,-0.19158789908953355,3
B0,-0.6847956525582956,-0.14990199842340957,9
B0,-0.6847956525582956,-0.10821609775728558,16
B0,-0.6847956525582956,-0.06653019709116148,18
B0,-0.6847956525582956,-0.024844296425037493,27
B0,-0.6847956525582956,0.016841604241086494,10
B0,-0.6847956525582956,0.05852750490721048,7
B0,-0.6847956525582956,0.10021340557333447,6
B0,-0.6847956525582956,0.14189930623945846,2
B0,-0.6847956525582956,0.18358520690558255,1
B0,-0.660975137844298,-0.23327379975565754,1
B0,-0.660975137844298,-0.14990199842340957,8
B0,-0.660975137844298,-0.10821609775728558,22
B0,-0.660975137844298,-0.06653019709116148,13
B0,-0.660975137844298,-0.024844296425037493,32
B0,-0.660975137844298,0.016841604241086494,11
B0,-0.660975137844298,0.05852750490721048,7
B0,-0.660975137844298,0.10021340557333447,12
B0,-0.660975137844298,0.14189930623945846,3
B0,-0.6371546231303004,-0.19158789908953355,1
B0,-0.6371546231303004,-0.14990199842340957,15
B0,-0.6371546231303004,-0.10821609775728558,16
B0,-0.6371546231303004,-0.06653019709116148,18
B0,-0.6371546231303004,-0.024844296425037493,27
B0,-0.6371546231303004,0.016841604241086494,22
B0,-0.6371546231303004,0.05852750490721048,18
B0,-0.6371546231303004,0.10021340557333447,11
B0,-0.6371546231303004,0.14189930623945846,2
B0,-0.6133341084163028,-0.23327379975565754,1
B0,-0.6133341084163028,-0.19158789908953355,2
